feature_set,n_features,auc,ap,brier,p_at_20,best_iter
FULL,23,0.6193532471244111,0.2895819263533249,0.15498659303338552,0.33819095477386935,3
PURE_CODE,11,0.5966234787716179,0.289282762476194,0.15562376574165288,0.33618090452261307,4
CODE_PLUS_REVIEW,15,0.5949891638429354,0.29931161111081517,0.15453867800756632,0.3341708542713568,6
PURE_CODE_NO_AGENT,10,0.5937724427521343,0.2820713278278544,0.15726100771603937,0.31155778894472363,1
