training_target,feature_set,n_features,auc,ap,brier,p_at_20,lift_at_20,best_iter
T2_struct_fix_majority,FULL,23,0.639433400549281,0.14678549993559276,0.06892087858730686,0.1527638190954774,2.0060831863804514,45
T2_struct_fix_majority,PURE_CODE,11,0.6361438551349043,0.13073044166149078,0.06945964282729584,0.14974874371859295,1.966489439280837,34
T2_struct_fix_majority,CODE_PLUS_REVIEW,15,0.6371885332730418,0.12314911559112282,0.0702198322817808,0.1492462311557789,1.9598904814309013,5
T2_struct_fix_majority,PURE_CODE_NO_AGENT,10,0.6322255230850629,0.1331417866148756,0.06955672029911293,0.15326633165829145,2.012682144230387,45
