lang_c,n,text_strict,text_composite,struct_any,struct_30,mean_followup_30
Python,5468,0.0037,0.0455,0.8213,0.7549,25.4064
Java,1006,0.004,0.1143,0.6282,0.5755,13.5755
Go,8361,0.0004,0.0033,0.8232,0.6863,8.07
C#,1146,0.0148,0.0654,0.6518,0.5288,3.8394
Other,3554,0.0138,0.0957,0.6244,0.5369,2.583
TypeScript,3787,0.0124,0.1598,0.6533,0.5371,2.1262
Rust,692,0.0116,0.1185,0.5896,0.4711,1.3078
