stars_bucket,n,text_strict,struct_any,mean_followup_30
Q1,7126,0.0073,0.775,20.405
Q2,8333,0.0008,0.8333,8.1348
Q3,2552,0.0059,0.683,6.837
Q4,6003,0.0123,0.607,1.9903
