agent,coef_no_churn,IRR_no_churn,p_no_churn,coef_with_churn,IRR_with_churn,p_with_churn,IRR_shrinkage_pct
Copilot,1.4176705506037433,4.127494443528557,8.386554137891775e-25,0.5902304754458139,1.8044042383487882,7.653424338101297e-05,56.3
Cursor,1.3901207778427818,4.015334987206759,5.08637873695018e-23,0.5051997535749003,1.6573165423024183,0.0009378747527049581,58.7
Devin,2.864236811186661,17.53566507298213,1.0451016766647645e-99,0.691475921354443,1.9966602731409755,2.145458675320579e-06,88.6
OpenAI_Codex,2.726676067689552,15.282006150458793,1.4010937932442233e-92,0.6154473749450365,1.850484274704648,2.099939299968593e-05,87.9
