agent,n,text_strict,text_composite,struct_30,struct_any,mean_followup_30
OpenAI_Codex,18004,0.0036,0.035,0.6822,0.7821,12.8583
Devin,2595,0.0108,0.1842,0.6539,0.7653,3.0385
Cursor,1005,0.0179,0.196,0.397,0.5383,0.9403
Copilot,2139,0.014,0.0701,0.4151,0.5306,1.0215
Claude_Code,271,0.0258,0.1439,0.1956,0.4096,0.2731
