signal,n,rate,rate_pct
text_strict,148,0.006163071541600733,0.616
text_composite,1494,0.06221370866994253,6.221
struct_any_followup,17854,0.74348296826851,74.348
struct_30pct_followup,15319,0.637919546930957,63.792
